,Prediction_Value,Lower_Bound_95,Upper_Bound_95,Lower_Bound_68,Upper_Bound_68,ID,EQUIPMENT_NO,VALUE
1521630,3167.7803674999996,1810.7542430000001,4524.8064924999999,2491.3231989999999,3844.2375365000003,2065818.0,21.0,2635.8052825999998
1521631,3320.0905425000001,1963.0644174999998,4677.1166670000002,2643.6333734999998,3996.5477110000002,2065824.0,21.0,2820.3220215000001
1521632,3803.9069555000001,2600.9728505000003,5006.8410610000001,3204.2623475,4403.5515640000003,2065830.0,21.0,2837.0332945000005
1521633,3940.3050399999997,2737.3709345000002,5143.2391449999996,3340.6604315,4539.9496479999998,2065836.0,21.0,3723.4198608000002
1521634,4135.6867130000001,2932.7526079999998,5338.6208184999996,3536.042105,4735.3313214999998,2065842.0,21.0,4177.5350957000001
1521635,4245.6376264999999,3042.7035210000004,5448.5717320000003,3645.9930184999998,4845.2822345000004,2065848.0,21.0,4494.9412844000008
1521636,4509.3477814999997,3197.9981205000004,5820.697443,3855.6596449999997,5163.0359179999996,2065854.0,21.0,4338.2505193999996
1521637,4562.6666864999997,3251.3170255000005,5874.0163480000001,3908.9785499999998,5216.3548234999998,2065860.0,21.0,4383.3586725000005
1521638,4611.9529825,3300.6033209999996,5923.3026434999992,3958.264846,5265.6411189999999,2065866.0,21.0,4441.7936710000004
1521639,4655.6780500000004,3344.3283890000002,5967.0277115000008,4001.9899134999996,5309.3661869999996,2065872.0,21.0,4492.5511476999991
1521640,4691.3357564999997,3334.8842205000001,6047.7872925000001,4015.1650120000004,5367.5065015,2065878.0,21.0,4435.4735100999997
1521641,4708.2543825000002,3351.8028464999998,6064.7059184999998,4032.0836380000001,5384.4251270000004,2065884.0,21.0,4506.2582400000001
1521642,4711.1116684999997,3354.660132,6067.5632045000002,4034.940924,5387.2824134999992,2065890.0,21.0,4364.3652957999993
1521643,4723.0174960000004,3366.5659599999999,6079.469032,4046.846751,5399.1882404999997,2065896.0,21.0,4496.1109613999997
1521644,4740.088624,3435.3366735,6044.8405745,4089.6893475000002,5390.4879010000004,2065902.0,21.0,4486.2183531999999
1521645,4720.9759190000004,3416.2239685000004,6025.7278695000005,4070.5766424999997,5371.3751965000001,2065908.0,21.0,4424.3348076999991
1521646,4745.2934860000005,3440.5415355,6050.0454365000005,4094.8942094999998,5395.692763,2065914.0,21.0,4466.6784667999991
1521647,4783.8436400000001,3479.0916895,6088.5955904999992,4133.4443635000007,5434.2429165000003,2065920.0,21.0,4492.538635599999
1521648,4795.2139050000005,3438.1968360000001,6152.2309734999999,4118.7612505000006,5471.6665590000002,2065926.0,21.0,4386.2555851999996
1521649,4804.4384995,3447.4214309999998,6161.4555679999994,4127.9858449999992,5480.8911539999999,2065932.0,21.0,4391.3965452000002
1521650,4767.5427744999997,3410.5257055000002,6124.559843,4091.0901199999998,5443.9954280000002,2065938.0,21.0,4572.7179566999994
1521651,4787.0286610000003,3430.0115919999998,6144.0457299999998,4110.5760069999997,5463.481315,2065944.0,21.0,4440.1412350999999
1521652,4689.3437629999999,3344.2181430000001,6034.4693829999997,4018.8188180000002,5359.8687090000003,2065950.0,21.0,4177.3002315000003
1521662,4337.7919030000003,2982.4251519999998,5693.1586539999998,3662.1619070000002,5013.4218989999999,2066010.0,21.0,3194.7286377
1521663,4271.3946530000003,2916.0279019999998,5626.7614039999999,3595.7646570000002,4947.0246479999996,2066016.0,21.0,3146.9999542999999
1521664,4163.7395990000005,2876.0419155,5451.4372825,3521.8416185000005,4805.6375795000004,2066022.0,21.0,3136.6644745000003
1521665,4159.2023525000004,2871.5046689999999,5446.9000355000007,3517.3043719999996,4801.1003330000003,2066028.0,21.0,3080.7216339000001
1521666,4112.4191754999993,2824.7214924999998,5400.1168589999997,3470.5211950000003,4754.3171560000001,2066034.0,21.0,3190.2111663999999
1521667,4044.230320666667,2744.8353096666665,5343.6253320000005,3396.5013980000003,4691.9592433333337,2066040.0,21.0,3215.8428649999996
1521668,3947.9698720000001,2698.2359780000002,5197.7037663333331,3324.9962713333334,4570.9434726666668,2066046.0,21.0,3170.5093536999993
1521669,3896.2498503333336,2646.5159563333332,5145.983744666667,3273.2762493333335,4519.2234513333324,2066052.0,21.0,2972.0203858
1521670,3893.1503903333337,2643.4164959999998,5142.8842843333332,3270.1767893333331,4516.1239909999995,2066058.0,21.0,3119.3623809999999
1521671,3837.0385556666665,2587.3046616666666,5086.7724499999995,3214.0649549999998,4460.0121566666667,2066064.0,21.0,3237.0413514000002
1521672,3828.3050163333332,2601.1863656666665,5055.4236680000004,3216.6047753333332,4440.0052583333336,2066070.0,21.0,3149.9691468000001
1521673,3586.2988573333337,2359.180206333333,4813.417508333333,2974.5986163333332,4197.9990993333331,2066076.0,21.0,2927.6894990000001
1521674,3453.9544073333332,2226.8357563333334,4681.0730583333325,2842.2541656666667,4065.6546486666666,2066082.0,21.0,2984.3607330000004
1521675,3337.1412759999998,2110.0226250000001,4564.2599270000001,2725.4410346666668,3948.8415173333328,2066088.0,21.0,2704.0529175000001
1521676,3452.7292269999998,1792.9625619999999,5112.4958916666665,2625.3604399999999,4280.0980140000001,2066094.0,21.0,2679.8760070999997
1521677,3365.1412146666667,1705.3745499999998,5024.9078803333332,2537.7724283333337,4192.510002,2066100.0,21.0,2652.2850801
1521678,3130.0869136666665,1470.3202483333334,4789.8535786666662,2302.7181266666666,3957.4557003333334,2066106.0,21.0,2764.0374756000001
1521679,3032.2598049999997,1372.4931400000003,4692.0264696666663,2204.8910180000003,3859.6285916666661,2066112.0,21.0,2842.5032654000001
1521680,2996.888168,1422.132722333333,4571.6436140000005,2211.8961986666668,3781.8801376666665,2066118.0,21.0,2658.8458710999998
1521681,2964.738206,1389.9827596666667,4539.4936516666667,2179.7462359999995,3749.7301753333336,2066124.0,21.0,2794.1669616999998
1521682,2908.7777143333333,1334.0222679999999,4483.5331603333334,2123.7857446666671,3693.7696833333334,2066130.0,21.0,2727.0489349000004
1521683,2846.3710940000001,1271.615648,4421.1265400000002,2061.3791243333335,3631.3630636666671,2066136.0,21.0,2587.5727387000002
1521684,3106.3479360000001,1691.5344943333337,4521.1613779999998,2401.0846569999999,3811.6112153333329,2066142.0,21.0,2628.7799378
1521685,2955.7546396666671,1540.9411976666668,4370.5680813333338,2250.4913603333334,3661.0179186666664,2066148.0,21.0,2690.2224274999999
1521686,2866.5256180000001,1451.7121763333334,4281.3390596666677,2161.2623386666669,3571.7888973333334,2066154.0,21.0,2660.3896484000002
1521687,2687.8964626666661,1273.0830206666667,4102.7099049999997,1982.6331833333334,3393.1597423333333,2066160.0,21.0,2620.9839935999998
1521688,2869.3365870000002,1937.2096180000001,3801.463556666667,2404.6852743333334,3333.9879003333335,2066166.0,21.0,2494.8290557
1521689,2834.2704630000003,1902.1434936666667,3766.3974326666666,2369.6191503333334,3298.9217759999997,2066172.0,21.0,2746.6049652000006
1521690,2813.4838443333333,1881.3568746666667,3745.6108133333341,2348.8325310000005,3278.1351570000002,2066178.0,21.0,2623.8477784000002
1521691,2784.312934,1852.1859646666665,3716.4399033333334,2319.6616209999997,3248.9642466666664,2066184.0,21.0,2609.2832031000003
1521692,2805.6181020000004,2147.3384110000002,3463.8977933333335,2477.4755503333331,3133.7606546666666,2066190.0,21.0,2707.1221922
1521693,2788.5432150000001,2130.263524,3446.8229063333333,2460.4006626666664,3116.6857673333338,2066196.0,21.0,2703.1023559999999
1521694,2764.1158283333334,2105.8361373333332,3422.3955193333331,2435.9732763333336,3092.2583809999996,2066202.0,21.0,2717.9450989000002
1521695,2747.100293333333,2088.8206023333337,3405.3799846666666,2418.9577416666666,3075.2428459999996,2066208.0,21.0,2552.2168732
1521696,2813.6998726666666,2224.6702103333332,3402.7295350000004,2520.077421,3107.3223240000002,2066214.0,21.0,2568.4436642999999
1521697,2766.3197519999999,2177.29009,3355.3494146666667,2472.6973010000002,3059.9422039999995,2066220.0,21.0,2567.9965668
1521698,2741.463521666667,2152.4338593333337,3330.4931840000004,2447.8410699999999,3035.0859729999997,2066226.0,21.0,2740.3928070000002
1521699,2710.9850609999999,2121.9553983333331,3300.0147236666667,2417.3626093333332,3004.6075126666669,2066232.0,21.0,2543.3202363
1521700,2774.6137479999998,2364.7535796666666,3184.4739160000004,2570.3046019999997,2978.9228939999998,2066238.0,21.0,2647.0677795000001
1521701,2734.525592,2324.6654240000003,3144.3857599999997,2530.2164460000004,2938.834738,2066244.0,21.0,2620.6843261999998
1521702,2690.5646846666664,2280.7045166666667,3100.424852666667,2486.2555386666668,2894.8738309999994,2066250.0,21.0,2613.1039734000001
1521703,2655.5682249999995,2245.7080566666668,3065.4283930000001,2451.2590786666665,2859.8773713333335,2066256.0,21.0,2680.8525086
1521704,2696.5420319999998,2370.8621303333334,3022.2219339999997,2534.1954856666666,2858.8885780000001,2066262.0,21.0,2663.5883026000001
1521705,2689.2449133333334,2363.565011666667,3014.9248149999999,2526.8983669999998,2851.5914593333332,2066268.0,21.0,2724.5157164999996
1521706,2686.2761396666665,2360.5962380000001,3011.9560413333334,2523.9295936666663,2848.6226856666667,2066274.0,21.0,2700.6450806000003
1521707,2697.4686113333332,2371.7887096666668,3023.1485133333335,2535.122065333333,2859.815157333333,2066280.0,21.0,2674.5285798
1521708,2667.5718929999998,2358.0010346666663,2977.1427513333329,2513.2554636666669,2821.8883226666671,2066286.0,21.0,2586.9594574000002
